date,nav,applied_ret,net_raw,lev,base_lev,kill,dd3,tvol,mkt_beta,gap_est,secmax
2023-10-31,129.07,0.01607970005794932,0.022016707748873442,0.73,1.22,model_decay,0.0227,0.103,-0.16,0.0074,0.21
2023-11-30,124.55,-0.03501211028440709,-0.048978199452141144,0.71,1.19,model_decay,0.0235,0.105,-0.11,0.0072,0.21
2023-12-29,128.46,0.03137369491735752,0.045806830134040445,0.68,1.14,model_decay,-0.0138,0.11,-0.15,0.0069,0.22
2024-01-31,140.31,0.09227134332823111,0.043911572254368134,2.1,2.1,,0.0113,0.059,-0.17,0.0212,0.22
2024-02-29,137.09,-0.022943008828483314,-0.019508625691653472,1.18,1.18,,0.0871,0.106,-0.14,0.0119,0.25
2024-03-28,136.14,-0.006989022986735764,-0.0062315691728711264,1.12,1.12,,0.1007,0.111,-0.15,0.0113,0.24
2024-04-30,135.58,-0.0040986939159841996,-0.0036854477354371774,1.11,1.11,,0.0598,0.112,-0.1,0.0112,0.23
2024-05-31,139.22,0.026863650928162456,0.024173333917179046,1.11,1.11,,-0.0337,0.112,-0.1,0.0112,0.22
2024-06-28,134.88,-0.03120898457799719,-0.028437896725326692,1.1,1.1,,0.0155,0.114,-0.12,0.0111,0.21
2024-07-31,141.55,0.04946384856606802,0.04690674543561841,1.05,1.05,,-0.0093,0.119,-0.09,0.0107,0.21
2024-08-30,143.06,0.010665004771020364,0.010727053344276656,0.99,0.99,,0.044,0.126,-0.09,0.0101,0.22
2024-09-30,147.2,0.02895999500711353,0.029043919017607677,1.0,1.0,,0.0276,0.125,-0.07,0.0101,0.21
2024-10-31,149.13,0.013108316042149576,0.013260042275578216,0.99,0.99,,0.0914,0.126,-0.13,0.01,0.2
2024-11-29,147.91,-0.008159694950141246,-0.008251186576487704,0.99,0.99,,0.0536,0.126,-0.1,0.01,0.21
2024-12-31,150.31,0.016224150245273145,0.015303952636232483,1.06,1.06,,0.0339,0.118,-0.11,0.0107,0.21
2025-01-31,148.41,-0.012673609954022093,-0.011819188076647117,1.07,1.07,,0.0211,0.117,0.03,0.0108,0.2
2025-02-28,143.52,-0.03290520727756664,-0.021397975500746718,1.54,1.54,,-0.0048,0.081,0.06,0.0155,0.21
2025-03-31,149.11,0.03893989381933617,0.026639283358673858,1.46,1.46,,-0.0297,0.086,0.11,0.0148,0.19
2025-04-30,158.96,0.066031706225456,0.04815662468871029,1.37,1.37,,-0.008,0.091,0.09,0.0139,0.18
2025-05-30,154.44,-0.028451902148249667,-0.024289862119025393,1.17,1.17,,0.0711,0.107,0.14,0.0118,0.18
2025-06-30,151.59,-0.018433479302745626,-0.016728504177059525,1.1,1.1,,0.076,0.113,0.13,0.0111,0.18
2025-07-31,149.06,-0.016696198304180992,-0.014574430121735185,1.15,1.15,,0.0166,0.109,0.14,0.0116,0.19
2025-08-29,152.34,0.022026046678506668,0.01815882146683279,1.21,1.21,,-0.0623,0.103,0.16,0.0123,0.2
2025-09-30,150.78,-0.010279343444033234,-0.008584159383582248,1.2,1.2,,-0.0136,0.104,0.18,0.0121,0.21
2025-10-31,152.44,0.011065210680546075,0.009045574618199246,1.22,1.22,,-0.0054,0.102,0.19,0.0124,0.22
2025-11-28,147.9,-0.029785021940612003,-0.024297751594737297,1.23,1.23,,0.0227,0.102,0.18,0.0124,0.22
2025-12-31,146.05,-0.0125586732171346,-0.010706350128834526,1.17,1.17,,-0.0291,0.107,0.27,0.0119,0.23
2026-01-30,146.19,0.0009558696627376674,0.0013483040243180897,0.71,1.18,model_decay,-0.0314,0.106,0.28,0.0072,0.21
2026-02-27,145.37,-0.005590950384235887,-0.007839564843881937,0.71,1.19,model_decay,-0.0411,0.105,0.22,0.0072,0.23
2026-03-31,149.86,0.030874486349540542,0.024569198607293896,1.26,1.26,,-0.0171,0.099,0.23,0.0127,0.22
2026-04-30,147.29,-0.017119213558233055,-0.013207173984538155,1.3,1.3,,0.0261,0.096,0.25,0.0131,0.2
2026-05-29,147.85,0.003788783480655937,0.0033405568788388257,1.13,1.89,model_decay,0.0076,0.066,0.22,0.0115,0.21
